Name,"Sub Category","Plan","AUM","CAGR 3Y","Expense Ratio","Volatility","Sharpe Ratio","Alpha","Sortino Ratio","Tracking Error","Time since inception","SEBI Risk Category","NAV"
WOC Multi Asset Allocation Fund,"Multi Asset Allocation Fund","Growth","1923.4909","0","0.56","5.946590646748774","2.2208436505076175","5.53","0.2192","10.828001815662944","25","High","14.261"
Parag Parikh Dynamic Asset Allocation Fund,"Dynamic Asset Allocation Fund","Growth","1919.6717999999998","0","0.33","3.0939415831589323","1.895416239246673","0","0.1948","0","16","Moderate","11.3261"
Mirae Asset Multi Asset Allocation Fund,"Multi Asset Allocation Fund","Growth","1910.5642","0","0.41","9.102442810586618","1.0889912396341854","0","0.1062","0","17","Very High","12.161"
HSBC CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund,"Flexi Cap Fund","Growth","1910.1214000000002","8.40032112716187","0.22","0.9540579227698914","6.349803146555018","0","0.9517","0","39","Moderately Low","12.5357"
Quant Quantamental Fund,"Thematic Fund","Growth","1901.5529000000001","28.01820798792951","0.66","19.070046299891356","-0.37940073800666235","-3.16","-0.036","5.468767959970509","50","Very High","24.0432"
ICICI Pru BSE Sensex Index Fund,"Index Fund","Growth","1886.1016883083","15.239972052247275","0.19","15.35699890994331","0.44448622025885126","1.28","0.0452","0.06349803146555018","93","Very High","26.8816"
SBI Magnum Constant Maturity Fund,"Gilt - Long Term Fund","Growth","1885.6897","9.458902827516336","0.31","2.206556593427869","3.554302311284171","0.8699999999999999","0.4021","1.5096656980934555","149","Moderate","67.0552"
Bank of India Liquid Fund,"Liquid Fund","Growth","1881.5348999999999","7.024102042688751","0.1","0.09365959641168652","8.06583744691151","-0.1","0.3519","0.04286117123924637","149","Moderately Low","3020.4594"
Bandhan Multi Asset Allocation Fund,"Multi Asset Allocation Fund","Growth","1870.9558","0","0.44","9.619951767030852","0.8254744090521523","0","0.0808","0","17","Very High","12.2367"
Bajaj Finserv Large and Mid Cap Fund,"Large & Mid Cap Fund","Growth","1870.452102","0","0.59","14.339442955707868","0.5397332674571765","3.17","0.0525","5.013169584205187","16","Very High","12.193"
HDFC NIFTY Next 50 Index Fund,"Index Fund","Growth","1840.9186","20.925366101857023","0.3","22.90691485119723","-0.1396956692242104","2.15","-0.0128","0.25557957664883946","43","Very High","15.7464"
Aditya Birla SL Dynamic Bond Fund,"Dynamic Bond Fund","Growth","1836.646","10.021803879346747","0.64","2.171632676121816","3.501916435325092","0","0.3763","0","149","Moderately High","50.2184"
Edelweiss Gr China Equity Off-Shore Fund,"FoFs (Overseas)","Growth","1836.4264","3.8431683415874662","1.49","26.33263364876366","0.48575994071145884","0","0.0523","0","149","Very High","45.368"
Bandhan Nifty 50 Index Fund,"Index Fund","Growth","1834.0391","16.048408732149213","0.1","15.480820071301132","0.42702426160582496","1.9300000000000002","0.0429","0.0761976377586602","149","Very High","54.7698"
LIC MF Banking & PSU Fund,"Banking & PSU Fund","Growth","1828.8120000000001","7.964747891983559","0.28","1.0366053636751067","6.006913776641047","0","0.8336","0","149","Moderate","37.7112"
Bandhan Large Cap Fund,"Large Cap Fund","Growth","1828.4595000000002","20.00177881871641","0.89","15.337949500503644","0.5127466040843177","2.85","0.0527","3.9273532461442784","149","Very High","86.352"
Axis Nifty 100 Index Fund,"Index Fund","Growth","1827.248601","16.444204911922288","0.21","16.292007423273535","0.30320310024800207","1.92","0.0295","0.06826038382546644","68","Very High","22.5078"
Mirae Asset Balanced Advantage Fund,"Dynamic Asset Allocation Fund","Growth","1811.1195","0","0.67","8.864325192590805","0.7715010823064347","0","0.0755","0","34","Very High","14.494"
HSBC Large Cap Fund,"Large Cap Fund","Growth","1808.9822","18.120792120864394","1.21","17.01747243276745","0.26986663372858827","1.4000000000000001","0.0258","3.14791490990465","149","Very High","512.4811"
Mirae Asset Low Duration Fund,"Low Duration Fund","Growth","1784.2885","7.548250477727225","0.21","0.40321249980624363","11.045482573432453","0","1.4165","0","149","Moderately Low","2447.9927"
Canara Rob Consumer Trends Fund,"Sectoral Fund - Consumption","Growth","1780.48","21.981956367703127","0.83","15.945943151786288","0.4635356296985163","2.1399999999999997","0.0469","7.326085380337852","149","Very High","124.04"
Bandhan Focused Equity Fund,"Focused Fund","Growth","1764.0167999999999","22.12572341886334","0.82","17.723888032821694","0.8508736216383724","6.87","0.0886","6.411713727233929","149","Very High","100.035"
Edelweiss Business Cycle Fund,"Thematic Fund","Growth","1763.021","0","0.42","19.774874449158965","-0.9032594975974513","0.13999999999999999","-0.0864","6.9450971915445505","11","Very High","8.8292"
Tata Focused Equity Fund,"Focused Fund","Growth","1762.6644962142","19.753733752759885","0.66","18.142975040494324","0.2793913384484208","2.1","0.0265","4.743302950476599","66","Very High","25.0774"
Baroda BNP Paribas Gilt Fund,"Gilt - Short & Mid Term Fund","Growth","1761.0004999999999","9.323092475154615","0.14","1.8668421250871752","4.265480263698333","0","0.5016","0","149","Moderate","47.4381"
Franklin India Technology Fund,"Sectoral Fund - Technology","Growth","1758.870557883","22.0357822870104","0.99","17.06668340715325","0.439723867898935","0.08","0.0476","7.284811659885244","149","Very High","551.0566"
ICICI Pru Nifty SDL Sep 2027 Index Fund,"Flexi Cap Fund","Growth","1756.953299483","8.253223906607499","0.2","0.9429457672634202","6.084698865186345","0","0.932","0","39","Moderately Low","12.3901"
Motilal Oswal Business Cycle Fund,"Thematic Fund","Growth","1745.5164000000002","0","0.61","22.708483502867384","1.203287696272176","19.830000000000002","0.1311","13.15361721808872","10","Very High","12.3324"
